20
0 0 0 0 0 0 8 7 6 5 4 7 9 8 7 6 5 4 3 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 8 7 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 5 2 5 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 5 3 2 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 6 5 4 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 7 7 9 0
8 5 3 3 4 0 0 0 0 0 0 0 0 0 7 7 7 9 8 5
6 4 2 5 7 0 0 0 0 0 0 0 0 0 7 7 7 9 0 7
5 5 5 7 7 0 0 0 0 0 0 0 0 0 8 7 6 5 7 9
7 6 7 7 6 0 0 0 0 0 0 0 0 0 8 6 4 7 8 9
0 0 0 0 0 0 8 7 6 5 4 7 9 8 7 6 5 4 3 3
0 0 0 0 6 0 0 0 0 0 0 0 0 0 9 9 9 8 7 6
0 0 0 7 0 0 0 0 0 0 0 0 0 0 7 7 5 2 5 6
0 0 9 0 0 0 0 0 0 0 8 0 0 0 8 6 5 3 2 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 6 5 4 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 7 7 9 0
8 5 3 3 4 6 0 0 0 0 0 0 0 0 7 7 7 9 8 5
6 4 2 5 7 6 0 0 0 0 7 7 7 0 7 7 7 7 0 7
5 5 5 7 7 8 9 0 0 0 0 0 0 0 8 7 7 7 7 9
7 6 7 7 6 4 7 0 0 0 0 0 0 0 8 6 4 7 8 9
