100
71	42	17	67	63	55	93	4	84	8	13	51	22	11	14	25	76	80	58	32	44	3	16	65	47	70	34	77	100	45	24	16	26	18	86	51	94	8	80	21	19	73	43	22	9	72	72	5	50	53	25	23	78	14	73	27	13	46	5	91	52	59	77	35	57	51	50	13	66	36	58	57	49	15	54	54	14	99	56	7	37	41	32	82	38	47	56	49	30	49	34	18	69	89	58	46	20	96	55	9
14	1	2	2	2	61	67	69	65	64	59	42	2	84	65	38	21	51	35	53	88	57	64	24	0	14	30	11	1	15	88	26	63	32	97	29	35	52	61	4	48	57	3	33	47	6	10	90	86	35	24	28	4	61	56	23	75	57	75	32	87	33	98	52	91	58	61	81	77	19	46	67	37	14	80	78	55	54	30	70	89	57	98	73	7	18	49	84	40	60	24	22	12	0	26	96	10	54	9	52
12	2	2	3	2	49	0	34	72	78	68	65	80	66	23	57	74	5	92	23	24	25	78	38	33	41	28	77	96	7	15	18	46	77	28	33	74	87	64	28	66	91	57	41	90	11	77	83	49	9	44	39	68	33	23	45	91	69	74	89	24	62	99	73	98	55	46	1	85	88	38	90	40	7	18	42	21	82	88	45	61	79	82	58	59	29	97	95	51	36	33	6	66	86	45	54	4	71	37	54
6	1	2	2	2	48	92	69	13	34	55	20	76	7	72	90	58	8	57	59	85	39	10	49	97	92	63	53	97	21	14	98	11	46	94	71	46	95	91	25	17	35	26	76	94	42	34	67	51	95	41	34	49	36	24	41	99	23	71	26	30	76	53	83	31	91	2	3	74	33	64	97	95	54	62	55	74	39	99	99	0	67	69	13	91	17	12	16	68	5	43	25	77	99	49	30	46	24	7	78
98	2	2	2	3	45	45	38	64	36	34	96	65	97	57	55	87	100	84	48	25	67	88	55	28	88	72	61	11	97	51	35	53	15	9	30	0	47	25	31	6	16	71	85	84	40	45	89	100	69	14	29	0	4	40	85	75	42	31	76	84	51	5	80	73	82	68	38	82	77	3	29	55	85	72	80	11	96	57	92	41	96	39	35	93	55	5	25	62	39	98	20	49	41	39	27	94	78	94	61
37	65	25	45	45	45	45	47	20	98	4	32	90	23	89	81	15	93	82	73	17	82	70	16	78	96	27	77	50	58	15	67	74	87	20	6	98	82	39	78	48	79	37	76	83	13	78	41	2	7	92	27	73	77	75	83	90	52	75	81	84	90	49	82	16	62	38	0	26	67	62	1	6	35	86	4	42	83	37	75	98	38	65	2	53	59	14	17	35	56	53	71	4	28	96	19	69	41	14	25
79	43	57	45	45	45	45	46	26	21	84	37	39	55	84	68	47	25	51	52	84	64	71	81	57	21	50	91	55	19	43	27	73	92	47	78	8	68	100	58	52	84	86	7	76	5	62	86	8	12	17	78	67	85	100	90	4	62	17	54	4	26	42	78	44	98	19	52	54	69	10	9	50	31	74	17	70	53	17	82	79	51	64	40	54	90	15	56	24	2	47	94	5	32	53	48	75	60	68	67
38	60	42	45	46	45	45	19	20	64	89	17	45	49	38	21	65	43	95	13	89	31	95	39	32	44	99	15	41	83	52	94	74	33	70	98	99	91	1	19	78	23	23	96	87	8	53	7	30	15	71	83	70	72	80	41	31	86	51	30	9	55	21	69	27	62	43	83	25	23	42	9	66	41	48	35	6	40	55	13	12	69	30	48	93	42	70	36	44	66	53	69	66	8	56	90	80	77	55	93
60	66	98	3	9	57	84	65	38	33	96	84	74	14	28	82	54	52	45	64	24	18	51	13	75	54	18	53	72	60	11	41	78	5	9	49	55	12	33	54	94	31	88	25	86	85	42	48	63	87	1	99	71	3	82	94	78	69	48	93	72	14	35	16	45	10	50	63	73	6	26	40	20	73	91	65	42	80	41	26	93	19	36	45	17	95	31	17	19	82	4	23	16	27	37	21	90	54	93	95
69	25	95	45	71	56	38	67	34	10	97	86	64	22	28	71	10	87	28	29	42	5	67	94	89	82	2	26	62	13	42	41	18	19	94	57	27	49	79	33	18	62	15	1	10	8	18	61	53	88	92	93	26	66	26	45	52	70	97	79	5	77	38	88	12	94	75	74	0	48	86	34	93	84	89	9	22	79	54	72	97	40	60	51	36	98	21	63	74	9	20	94	45	22	24	40	99	34	74	54
48	45	37	76	94	25	60	53	86	91	19	34	46	73	28	56	99	84	44	6	15	92	49	54	96	70	2	42	22	11	24	39	21	87	62	42	23	32	34	47	67	16	32	54	69	100	4	89	73	84	24	86	32	11	89	47	39	68	32	34	89	26	22	43	53	23	28	33	70	63	64	78	39	36	67	29	54	67	7	82	25	16	94	92	78	94	38	21	74	50	48	23	62	85	55	20	51	35	50	63
8	35	45	65	98	95	59	77	64	6	79	20	54	17	33	19	29	28	47	13	86	98	71	37	34	74	18	38	95	63	32	10	24	51	37	19	64	25	66	57	51	60	96	59	68	69	55	90	7	93	81	62	11	16	58	96	34	36	70	68	92	39	60	98	1	12	23	22	84	43	70	54	6	10	1	58	74	45	44	67	54	80	64	98	55	67	61	60	2	8	54	10	29	43	29	63	66	57	84	4
42	50	89	48	35	64	24	61	27	24	77	48	91	20	33	9	83	58	85	86	24	79	1	75	78	31	85	68	7	27	61	86	31	20	40	56	7	4	14	85	30	22	12	9	44	8	7	7	40	8	61	63	88	31	77	3	38	84	21	24	44	95	93	95	46	71	13	67	9	59	45	15	47	33	59	39	48	6	74	35	43	60	48	58	34	31	57	83	27	47	32	83	95	53	34	5	95	97	47	21
40	0	13	7	84	49	99	73	99	34	85	82	68	6	13	24	95	57	61	79	7	30	98	48	21	94	43	65	77	87	42	77	19	37	26	14	24	93	87	10	34	37	78	88	20	30	92	75	83	48	86	23	71	2	58	31	95	100	79	57	95	15	44	35	95	45	91	62	49	87	98	92	5	21	82	1	40	44	13	33	38	69	12	12	69	95	67	72	2	38	82	34	9	76	46	17	56	72	81	69
88	73	95	73	33	21	37	97	22	59	45	9	96	32	7	27	21	48	63	11	40	99	55	40	36	49	68	83	8	60	50	22	94	76	73	87	42	42	92	74	75	60	42	48	82	11	11	85	0	1	74	90	92	100	22	90	78	67	83	48	69	85	67	75	31	49	15	41	30	49	35	83	37	46	1	35	68	87	96	78	59	38	30	40	26	69	67	70	54	40	46	51	22	9	71	63	98	20	43	8
